ID,symbol,interval,Smooth Data?,Main Length Period,Secondary Length Period,Deviation Coefficient,BB Source,BB Length,BB StdDev,BB Signal Smoothing,BB Std. threshold,From Day,From Month,From Year,To Day,To Month,To Year,Use Heikin Ashi Candles in Algo Calculations,length,pcntChange,Rating for entry,Rating for exit,TP % for Short entries,SL % for Short entries,entry_numbers,longEntry,shortEntry,risk,leverage,combinedValue_net_profit,combinedPct_net_profit,longValue_net_profit,back_test,Score_back,,fw_test,Score_fw,weighted_average
"07, 01, 0.20, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.2,0.4,0,0,0,TRUE,FALSE,100,1,21042.23,2104.22,21042.23,2104.22,94.87,,385.37,78.81,91.47599962
"07, 01, 0.20, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.2,0.45,0,0,0,TRUE,FALSE,100,1,21042.23,2104.22,21042.23,2104.22,94.87,,385.37,78.81,91.47599962
"07, 01, 0.25, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.25,0.4,0,0,0,TRUE,FALSE,100,1,21042.23,2104.22,21042.23,2104.22,94.87,,385.37,78.81,91.47599962
"07, 01, 0.25, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.25,0.45,0,0,0,TRUE,FALSE,100,1,21042.23,2104.22,21042.23,2104.22,94.87,,385.37,78.81,91.47599962
"07, 01, 0.25, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.25,0.5,0,0,0,TRUE,FALSE,100,1,21042.23,2104.22,21042.23,2104.22,94.87,,385.37,78.81,91.47599962
"05, 01, 0.30, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,5,1,0.3,0.45,0,0,0,TRUE,FALSE,100,1,19689.02,1968.9,19689.02,1968.9,88.77,,481.54,98.48,90.82540919
"05, 01, 0.30, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,5,1,0.3,0.5,0,0,0,TRUE,FALSE,100,1,19689.02,1968.9,19689.02,1968.9,88.77,,481.54,98.48,90.82540919
"05, 01, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,5,1,0.35,0.4,0,0,0,TRUE,FALSE,100,1,19689.02,1968.9,19689.02,1968.9,88.77,,481.54,98.48,90.82540919
"05, 01, 0.35, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,5,1,0.35,0.45,0,0,0,TRUE,FALSE,100,1,19689.02,1968.9,19689.02,1968.9,88.77,,481.54,98.48,90.82540919
"05, 01, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,5,1,0.35,0.5,0,0,0,TRUE,FALSE,100,1,19689.02,1968.9,19689.02,1968.9,88.77,,481.54,98.48,90.82540919
"17, 01, 0.30, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.3,0.45,0,0,0,TRUE,FALSE,100,1,20027.93,2002.79,20027.93,2002.79,90.30,,453.61,92.77,90.82202579
"17, 01, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.35,0.4,0,0,0,TRUE,FALSE,100,1,20027.93,2002.79,20027.93,2002.79,90.30,,453.61,92.77,90.82202579
"17, 01, 0.35, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.35,0.45,0,0,0,TRUE,FALSE,100,1,20027.93,2002.79,20027.93,2002.79,90.30,,453.61,92.77,90.82202579
"17, 01, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.35,0.5,0,0,0,TRUE,FALSE,100,1,20027.93,2002.79,20027.93,2002.79,90.30,,453.61,92.77,90.82202579
"12, 01, 0.20, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,FALSE,12,1,0.2,0.5,0,0,0,TRUE,FALSE,100,1,21409.54,2140.95,21409.54,2140.95,96.53,,317.43,64.92,89.84284156
"12, 01, 0.25, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,FALSE,12,1,0.25,0.4,0,0,0,TRUE,FALSE,100,1,21409.54,2140.95,21409.54,2140.95,96.53,,317.43,64.92,89.84284156
"12, 02, 0.20, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.2,0.45,0,0,0,TRUE,FALSE,100,1,20961.25,2096.13,20961.25,2096.13,94.51,,348.55,71.28,89.59565121
"12, 02, 0.20, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.2,0.5,0,0,0,TRUE,FALSE,100,1,20961.25,2096.13,20961.25,2096.13,94.51,,348.55,71.28,89.59565121
"12, 02, 0.25, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.25,0.4,0,0,0,TRUE,FALSE,100,1,20961.25,2096.13,20961.25,2096.13,94.51,,348.55,71.28,89.59565121
"12, 02, 0.25, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.25,0.45,0,0,0,TRUE,FALSE,100,1,20961.25,2096.13,20961.25,2096.13,94.51,,348.55,71.28,89.59565121
"12, 02, 0.25, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.25,0.5,0,0,0,TRUE,FALSE,100,1,20961.25,2096.13,20961.25,2096.13,94.51,,348.55,71.28,89.59565121
"14, 01, 0.20, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.2,0.45,0,0,0,TRUE,FALSE,100,1,20525.34,2052.53,20525.34,2052.53,92.54,,375.58,76.81,89.21490862
"14, 01, 0.20, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.2,0.5,0,0,0,TRUE,FALSE,100,1,20525.34,2052.53,20525.34,2052.53,92.54,,375.58,76.81,89.21490862
"14, 01, 0.25, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.25,0.45,0,0,0,TRUE,FALSE,100,1,20525.34,2052.53,20525.34,2052.53,92.54,,375.58,76.81,89.21490862
"14, 01, 0.25, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.25,0.5,0,0,0,TRUE,FALSE,100,1,20525.34,2052.53,20525.34,2052.53,92.54,,375.58,76.81,89.21490862
"18, 01, 0.20, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,18,1,0.2,0.45,0,0,0,TRUE,FALSE,100,1,20488.47,2048.85,20488.47,2048.85,92.38,,367.64,75.19,88.74061767
"18, 01, 0.25, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,18,1,0.25,0.45,0,0,0,TRUE,FALSE,100,1,20488.47,2048.85,20488.47,2048.85,92.38,,367.64,75.19,88.74061767
"18, 01, 0.25, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,18,1,0.25,0.5,0,0,0,TRUE,FALSE,100,1,20488.47,2048.85,20488.47,2048.85,92.38,,367.64,75.19,88.74061767
"13, 02, 0.40, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,13,2,0.4,0.45,0,0,0,TRUE,FALSE,100,1,19770.52,1977.05,19770.52,1977.05,89.14,,425.46,87.01,88.68925693
"13, 02, 0.40, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,13,2,0.4,0.5,0,0,0,TRUE,FALSE,100,1,19770.52,1977.05,19770.52,1977.05,89.14,,425.46,87.01,88.68925693
"13, 02, 0.45, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,13,2,0.45,0.4,0,0,0,TRUE,FALSE,100,1,19770.52,1977.05,19770.52,1977.05,89.14,,425.46,87.01,88.68925693
"13, 02, 0.45, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,13,2,0.45,0.5,0,0,0,TRUE,FALSE,100,1,19770.52,1977.05,19770.52,1977.05,89.14,,425.46,87.01,88.68925693
"06, 01, 0.20, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.2,0.45,0,0,0,TRUE,FALSE,100,1,20204.99,2020.5,20204.99,2020.5,91.10,,388.74,79.50,88.64550054
"06, 01, 0.20, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.2,0.5,0,0,0,TRUE,FALSE,100,1,20204.99,2020.5,20204.99,2020.5,91.10,,388.74,79.50,88.64550054
"06, 01, 0.25, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,6,1,0.25,0.4,0,0,0,TRUE,FALSE,100,1,20204.99,2020.5,20204.99,2020.5,91.10,,388.74,79.50,88.64550054
"14, 01, 0.30, 0.25",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.3,0.25,0,0,0,TRUE,FALSE,100,1,19810.38,1981.04,19810.38,1981.04,89.32,,398.35,81.47,87.65838861
"12, 01, 0.20, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,1,0.2,0.4,0,0,0,TRUE,FALSE,100,1,19997.02,1999.7,19997.02,1999.7,90.16,,381.48,78.02,87.59200239
"20, 01, 0.30, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,20,1,0.3,0.45,0,0,0,TRUE,FALSE,100,1,20248.67,2024.87,20248.67,2024.87,91.30,,358.05,73.22,87.47327905
"20, 01, 0.20, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,20,1,0.2,0.4,0,0,0,TRUE,FALSE,100,1,20032.28,2003.23,20032.28,2003.23,90.32,,367.64,75.19,87.11880963
"20, 01, 0.25, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,20,1,0.25,0.4,0,0,0,TRUE,FALSE,100,1,20032.28,2003.23,20032.28,2003.23,90.32,,358.05,73.22,86.70396897
"20, 01, 0.25, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,20,1,0.25,0.45,0,0,0,TRUE,FALSE,100,1,20032.28,2003.23,20032.28,2003.23,90.32,,358.05,73.22,86.70396897
"17, 01, 0.30, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.3,0.4,0,0,0,TRUE,FALSE,100,1,20027.93,2002.79,20027.93,2002.79,90.30,,346.14,70.79,86.17312845
"11, 02, 0.20, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,11,2,0.2,0.45,0,0,0,TRUE,FALSE,100,1,19878.58,1987.86,19878.58,1987.86,89.63,,355.13,72.63,86.03124745
"11, 02, 0.25, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,11,2,0.25,0.4,0,0,0,TRUE,FALSE,100,1,19878.58,1987.86,19878.58,1987.86,89.63,,355.13,72.63,86.03124745
"11, 02, 0.25, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,11,2,0.25,0.45,0,0,0,TRUE,FALSE,100,1,19878.58,1987.86,19878.58,1987.86,89.63,,355.13,72.63,86.03124745
"11, 02, 0.25, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,11,2,0.25,0.5,0,0,0,TRUE,FALSE,100,1,19878.58,1987.86,19878.58,1987.86,89.63,,355.13,72.63,86.03124745
"17, 01, 0.20, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.2,0.5,0,0,0,TRUE,FALSE,100,1,19686.64,1968.66,19686.64,1968.66,88.76,,346.14,70.79,84.95979419
"17, 01, 0.25, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.25,0.4,0,0,0,TRUE,FALSE,100,1,19686.64,1968.66,19686.64,1968.66,88.76,,346.14,70.79,84.95979419
"17, 01, 0.25, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.25,0.45,0,0,0,TRUE,FALSE,100,1,19686.64,1968.66,19686.64,1968.66,88.76,,346.14,70.79,84.95979419
"17, 01, 0.25, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,17,1,0.25,0.5,0,0,0,TRUE,FALSE,100,1,19686.64,1968.66,19686.64,1968.66,88.76,,346.14,70.79,84.95979419
"12, 01, 0.25, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,1,0.25,0.5,0,0,0,TRUE,FALSE,100,1,19997.02,1999.7,19997.02,1999.7,90.16,,317.43,64.92,84.82135128
